time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.5188996536889984e-08,1.1487858984634132e-07,10.002383043418137,0.00012949081181989897,6.282814356109844,0.0,1.4525941546986762e-05,1.0549531412457026e-05,0.07943188683311939,0.006158750619266374,-0.022929075728588495,0.0,430.9624959987896,429.02048723658544,430.39628295983874,430.91707918493023
0.12000000000000001,1.6031436900950855e-05,5.4800415488657934e-06,10.013937266227188,0.0003126607241581425,6.281577076449455,0.0,0.0006766058235091576,0.00020268440605342516,0.305674940626359,-0.004023474203475787,-0.01636524946723785,0.0,474.38978012226625,474.89347574766487,476.3271316783902,475.5479061568509
0.18,9.486835733811254e-05,2.335306238939037e-05,10.036101385279338,6.282912849295848,6.280801521038018,0.0,0.002043619905105355,0.0003530575878016422,0.4330885329484203,-0.02480934570807208,-0.006808523072455201,0.0,445.5159402362874,446.29662525358805,446.20500502330066,444.5052443468305
0.23999999999999996,0.00027017031322429256,3.271509723427404e-05,10.065835474450132,6.281160460699045,6.2803427871257185,0.0,0.0038454209996175944,-0.00021023323486277446,0.5579942404391952,-0.03989562415880502,-0.00937456162216843,0.0,444.4934317403842,444.2832390650356,446.12687279289844,444.8932537909966
0.3,0.0005778352907572444,-4.433783110099324e-05,10.10772892275158,6.278472328492619,6.279578338462368,0.0,0.006493652462378206,-0.0026816456234988444,0.8382897876027742,-0.05706977102298583,-0.020505700080280284,0.0,491.32543423927575,490.4997297130686,492.0222720473855,490.7483097739359
0.36000000000000004,0.001060527825854551,-0.0003347351513578676,10.164711341813367,6.275514621083538,6.278579455439216,0.0,0.009728210484893954,-0.0073767192280679034,1.0609414401980888,-0.03708033842697251,-0.009874916109758953,0.0,474.34919666398423,475.1648512753005,474.40118887982567,475.9319393251909
0.4200000000000001,0.001756438120787371,-0.0009696072813389418,10.234507894353301,6.27337305766898,6.277993679006364,0.0,0.013537034541715691,-0.014040314241042507,1.2654039394565084,-0.03305323762166626,-0.009539922629804147,0.0,470.11393502501164,470.1400174111216,469.7524250001452,470.0640738770981
0.48000000000000015,0.0026530126608012403,-0.00197361538244453,10.308682841181739,6.271794447580081,6.277205798420731,0.0,0.016401625500362938,-0.019565175477065027,1.2071563102013063,-0.015417670510974747,-0.021507393730559383,0.0,386.03175103707304,384.90099633907346,383.92770818961566,385.59684227320685
0.5400000000000001,0.0037563564641793917,-0.003372132024718248,10.38288190974826,6.270910377661487,6.277000452289471,0.0,0.020434698671644786,-0.027138055160363408,1.266080794653951,-0.013402066956075901,0.019044145008963436,0.0,423.9605778309881,427.43021069381535,424.5397201148148,424.71270629856497
0.6000000000000002,0.005109553445446086,-0.00526488386943366,10.462469961720918,6.270024209354368,6.277752908509818,0.0,0.024566193899273073,-0.03604061231835481,1.3867148339163895,-0.01765489012521142,-0.005475522807754103,0.0,445.7478329637702,443.7396778930914,445.4638648796458,445.1161044528854
0.6600000000000003,0.0066919946933571926,-0.007690756521623937,10.547760202473892,6.269287792081425,6.277416414314857,0.0,0.028213768897722296,-0.044906545754491226,1.4562054674018867,-0.003242333579015445,-0.005875004729849875,0.0,429.2800495030296,429.24624835713485,428.24788783854234,429.47205254406646
0.7200000000000003,0.008503309877354853,-0.010668599458402822,10.637808423251451,6.268940798453034,6.277213807413673,0.0,0.032190144483367954,-0.054379961200567456,1.545284727946708,-0.01142290276823219,0.0012025178664131094,0.0,434.49885109627786,435.0918113829302,436.6548426234047,435.9720211306983
0.7800000000000004,0.010551951035662218,-0.014213974638027307,10.732530740824412,6.268347168411351,6.277041250145899,0.0,0.03610063589040785,-0.06385991164905587,1.6120327210822218,-0.006998798056710846,-0.012627302403838442,0.0,428.9029516631079,427.7269182235697,428.75509829260454,429.13089059062224
0.8400000000000004,0.012862036939778571,-0.018387128222117993,10.834519888823433,6.268310504858949,6.275893242091303,0.0,0.04100271026331031,-0.07526467107867817,1.7873466954322337,0.00981056735248377,-0.03715959777488441,0.0,462.8167419074069,460.881984288123,462.9113918092845,464.232157696947
0.9000000000000005,0.01546568252028309,-0.023177805588827764,10.942730981006266,6.269277803097886,6.273707624556417,0.0,0.04598810724004352,-0.08435033258630323,1.8196378712144932,0.026439027819705672,-0.03500085595481093,0.0,418.1785257443042,418.36582044477336,417.2085428996602,418.65771749254236
0.9600000000000005,0.018447558312023698,-0.028546228090013646,11.056814906550263,6.270793085594153,6.271635637100921,0.0,0.053637348111251766,-0.09442086299954844,1.9828905186590704,0.022774479898002,-0.03361388861068681,0.0,460.6503895175588,460.75959131526776,458.90272326016435,458.6118538464909
1.0200000000000005,0.02192739973225698,-0.0344781818367701,11.180075734442804,6.272034859777328,6.269669651964339,0.0,0.0625699156249195,-0.10316646706506853,2.125548158356368,0.016177471761173432,-0.031123492960348095,0.0,453.8599532894803,454.05938907267273,454.36921563362006,453.84003281762955
1.0800000000000005,0.025995737890019868,-0.04091678048765666,11.312614972531312,6.273277504393262,6.26741670410191,0.0,0.07326184431753428,-0.11132508366624862,2.292105312726174,0.028509300158399184,-0.05524508175249516,0.0,462.70730909630686,460.80376284084696,461.4364812174633,462.4088800455491
1.1400000000000006,0.030779748233758036,-0.047824133519810005,11.456192663012388,6.274787912750321,6.2636651498539635,0.0,0.08660351711576421,-0.11872675227135131,2.4933953074831168,0.017491050633150453,-0.08394000501904042,0.0,474.23633442890764,472.0243047504788,473.0147614901704,472.16558675110286
